res_id,cell_center,walk_time
niros-gyros-champaign-2,"40.1356720549,-88.1889621364",6182
niros-gyros-champaign-2,"40.1716720909,-88.2807714457",7043
niros-gyros-champaign-2,"40.1572720765,-88.2595799529",4908
niros-gyros-champaign-2,"40.1230720423,-88.2054609693",3799
niros-gyros-champaign-2,"40.1032720225,-88.1866632664",4199
niros-gyros-champaign-2,"40.1032720225,-88.2172557419",2034
niros-gyros-champaign-2,"40.0978720171,-88.1725540272",4922
niros-gyros-champaign-2,"40.1680720873,-88.1959741878",7710
niros-gyros-champaign-2,"40.1374720567,-88.2054402709",6649
niros-gyros-champaign-2,"40.0906720099,-88.2243301393",2322
niros-gyros-champaign-2,"40.1104720297,-88.2996197254",3840
niros-gyros-champaign-2,"40.1572720765,-88.2007015108",6338
niros-gyros-champaign-2,"40.1482720675,-88.254876075",4290
niros-gyros-champaign-2,"40.1230720423,-88.2619558304",2529
niros-gyros-champaign-2,"40.1338720531,-88.2878468772",4934
niros-gyros-champaign-2,"40.1158720351,-88.2431305657",936
niros-gyros-champaign-2,"40.1158720351,-88.2572527856",1778
niros-gyros-champaign-2,"40.1464720657,-88.2195559061",4369
niros-gyros-champaign-2,"40.1680720873,-88.191263163",7998
niros-gyros-champaign-2,"40.1392720585,-88.2925546885",5884
niros-gyros-champaign-2,"40.0816720009,-88.2337506415",2524
niros-gyros-champaign-2,"40.1104720297,-88.2172466503",2088
niros-gyros-champaign-2,"40.1284720477,-88.2949105116",5022
niros-gyros-champaign-2,"40.1554720747,-88.1795085491",7063
niros-gyros-champaign-2,"40.1716720909,-88.2171692388",6832
niros-gyros-champaign-2,"40.1500720693,-88.2431003557",4111
niros-gyros-champaign-2,"40.1392720585,-88.1866015731",5875
niros-gyros-champaign-2,"40.1194720387,-88.247835044",1443
niros-gyros-champaign-2,"40.1194720387,-88.2737271511",2989
niros-gyros-champaign-2,"40.0888720081,-88.2831514597",3750
niros-gyros-champaign-2,"40.1392720585,-88.2831366338",4583
